block_number,timestamp,tx_count,gas_used,gas_limit
6,1768812362,0,0,30000000
7,1768812374,0,0,30000000
8,1768812386,216,5132868,30000000
9,1768812406,35,831728,30000000
10,1768812419,0,0,30000000
11,1768812431,0,0,30000000
12,1768812443,0,0,30000000
13,1768812455,0,0,30000000
14,1768812467,0,0,30000000
15,1768812479,0,0,30000000
16,1768812491,80,1899288,30000000
17,1768812503,80,1901048,30000000
18,1768812515,382,9074424,30000000
19,1768812549,139,3303112,30000000
20,1768812563,0,0,30000000
21,1768812575,0,0,30000000
22,1768812587,0,0,30000000
23,1768812599,0,0,30000000
24,1768812611,0,0,30000000
25,1768812623,1,23742,30000000
26,1768812635,1,23764,30000000
27,1768812647,0,0,30000000
28,1768812659,0,0,30000000
29,1768812671,0,0,30000000
30,1768812683,33,783474,30000000
31,1768812695,33,784200,30000000
32,1768812707,0,0,30000000
33,1768812719,0,0,30000000
34,1768812731,218,5175432,30000000
35,1768812746,218,5180228,30000000
36,1768812762,0,0,30000000
37,1768812774,139,3300054,30000000
38,1768812787,139,3303112,30000000
39,1768812800,0,0,30000000
40,1768812812,65,1543158,30000000
41,1768812824,113,2684156,30000000
42,1768812837,48,1140624,30000000
43,1768812849,2,47484,30000000
44,1768812861,38,902228,30000000
45,1768812873,103,2446134,30000000
46,1768812886,67,1592116,30000000
47,1768812898,48,1139568,30000000
48,1768812911,63,1496742,30000000
49,1768812923,15,356448,30000000
50,1768812935,106,2516448,30000000
51,1768812948,145,3444706,30000000
52,1768812960,41,974268,30000000
53,1768812973,2,47528,30000000
54,1768812985,0,0,30000000
55,1768812997,40,949620,30000000
56,1768813009,40,950500,30000000
57,1768813021,165,3917322,30000000
58,1768813034,204,4846878,30000000
59,1768813050,39,926784,30000000
60,1768813062,0,0,30000000
61,1768813074,37,878394,30000000
62,1768813086,14,332672,30000000
63,1768813098,1,23742,30000000
64,1768813110,65,1544600,30000000
65,1768813122,75,1780602,30000000
66,1768813135,42,998052,30000000
67,1768813147,106,2516448,30000000
68,1768813160,106,2518780,30000000
69,1768813172,0,0,30000000
70,1768813184,0,0,30000000
71,1768813196,0,0,30000000
72,1768813208,1,23742,30000000
73,1768813220,0,0,30000000
74,1768813232,5,118710,30000000
75,1768813244,5,118820,30000000
76,1768813256,0,0,30000000
77,1768813268,0,0,30000000
78,1768813280,107,2540298,30000000
79,1768813293,89,2114924,30000000
80,1768813306,11,261162,30000000
81,1768813318,10,237640,30000000
82,1768813330,0,0,30000000
83,1768813342,0,0,30000000
84,1768813354,140,3323688,30000000
85,1768813367,118,2803984,30000000
86,1768813379,16,379848,30000000
87,1768813391,16,380200,30000000
88,1768813404,0,0,30000000
89,1768813416,0,0,30000000
90,1768813428,1,23742,30000000
