block_number,timestamp,tx_count,gas_used,gas_limit
6,1768495173,0,0,30000000
7,1768495185,0,0,30000000
8,1768495197,18,427728,30000000
9,1768495209,29,689144,30000000
10,1768495221,19,451492,30000000
11,1768495233,15,356448,30000000
12,1768495245,13,308920,30000000
13,1768495257,2,47528,30000000
14,1768495269,3,71292,30000000
15,1768495281,1,23764,30000000
16,1768495293,0,0,30000000
17,1768495305,0,0,30000000
18,1768495317,0,0,30000000
19,1768495329,0,0,30000000
20,1768495341,0,0,30000000
21,1768495353,0,0,30000000
22,1768495365,1,23742,30000000
23,1768495377,1,23742,30000000
24,1768495389,6,142496,30000000
25,1768495401,8,190002,30000000
26,1768495413,7,166260,30000000
27,1768495425,12,284958,30000000
28,1768495437,18,427488,30000000
29,1768495449,17,403778,30000000
30,1768495461,15,356348,30000000
31,1768495473,14,332520,30000000
32,1768495485,12,285012,30000000
33,1768495498,16,380012,30000000
34,1768495510,16,379992,30000000
35,1768495522,11,261316,30000000
36,1768495534,11,261282,30000000
37,1768495546,12,285034,30000000
38,1768495558,10,237574,30000000
39,1768495570,5,118786,30000000
40,1768495582,6,142540,30000000
41,1768495594,3,71270,30000000
42,1768495606,3,71270,30000000
43,1768495618,2,47506,30000000
44,1768495630,0,0,30000000
45,1768495642,6,142496,30000000
46,1768495654,4,94990,30000000
47,1768495666,9,213744,30000000
48,1768495678,8,190024,30000000
49,1768495690,10,237552,30000000
50,1768495702,13,308734,30000000
51,1768495714,6,142550,30000000
52,1768495726,12,284992,30000000
53,1768495738,15,356216,30000000
54,1768495750,17,403768,30000000
55,1768495762,19,451316,30000000
56,1768495774,13,308864,30000000
57,1768495786,7,166270,30000000
58,1768495798,9,213698,30000000
59,1768495810,12,285022,30000000
60,1768495822,7,166292,30000000
61,1768495834,5,118798,30000000
62,1768495846,7,166238,30000000
63,1768495858,5,118776,30000000
64,1768495870,7,166304,30000000
65,1768495882,5,118732,30000000
66,1768495894,8,190002,30000000
67,1768495906,7,166304,30000000
68,1768495918,9,213766,30000000
69,1768495931,6,142518,30000000
70,1768495943,6,142496,30000000
71,1768495955,6,142562,30000000
72,1768495967,7,166238,30000000
73,1768495979,13,308756,30000000
74,1768495991,8,190000,30000000
75,1768496003,9,213754,30000000
76,1768496015,16,379970,30000000
77,1768496027,12,285012,30000000
78,1768496039,9,213832,30000000
79,1768496051,10,237562,30000000
80,1768496063,9,213776,30000000
81,1768496075,11,261228,30000000
82,1768496087,10,237552,30000000
83,1768496099,14,332508,30000000
84,1768496111,10,237584,30000000
85,1768496123,7,166248,30000000
86,1768496135,6,142538,30000000
87,1768496147,7,166226,30000000
88,1768496159,5,118732,30000000
89,1768496171,5,118820,30000000
90,1768496183,12,284992,30000000
91,1768496195,6,142462,30000000
92,1768496207,13,308788,30000000
93,1768496219,13,308766,30000000
94,1768496231,12,285046,30000000
95,1768496243,8,190056,30000000
96,1768496255,11,261260,30000000
97,1768496267,5,118786,30000000
98,1768496279,5,118732,30000000
99,1768496291,9,213766,30000000
100,1768496303,8,189946,30000000
101,1768496315,12,284992,30000000
102,1768496327,15,356350,30000000
103,1768496339,8,190068,30000000
104,1768496352,2,47506,30000000
105,1768496364,6,142474,30000000
106,1768496376,6,142496,30000000
107,1768496388,11,261260,30000000
108,1768496400,12,284980,30000000
109,1768496412,6,142494,30000000
110,1768496424,7,166236,30000000
111,1768496436,10,237508,30000000
112,1768496448,6,142496,30000000
113,1768496460,12,284902,30000000
114,1768496472,13,308688,30000000
115,1768496484,5,118710,30000000
116,1768496496,7,166216,30000000
117,1768496508,7,166194,30000000
118,1768496520,8,189936,30000000
119,1768496532,9,213678,30000000
120,1768496544,11,261138,30000000
121,1768496556,3,71226,30000000
122,1768496568,7,166182,30000000
123,1768496580,1,23742,30000000
124,1768496592,0,0,30000000
125,1768496604,1,23742,30000000
126,1768496616,1,23742,30000000
6,1768495175,0,0,30000000
7,1768495187,1,23764,30000000
8,1768495199,18,427752,30000000
9,1768495211,29,689096,30000000
10,1768495223,30,712896,30000000
11,1768495235,12,285168,30000000
12,1768495247,4,95044,30000000
13,1768495259,3,71292,30000000
14,1768495271,2,47528,30000000
15,1768495283,1,23764,30000000
16,1768495295,0,0,30000000
17,1768495307,0,0,30000000
18,1768495319,0,0,30000000
19,1768495331,0,0,30000000
20,1768495343,0,0,30000000
21,1768495355,0,0,30000000
