journey_type,concurrency,amortization_factor,journeys_per_user,total_txs,total_gas,total_blocks,total_time,tps,gas_per_sec,makespan_seconds,processes
BASELINE,100,1,5,500,30029000,80,960,0.5208333333333334,31280.208333333332,401.8345375061035,16
BASELINE,200,1,5,1000,60058000,53,636,1.5723270440251573,94430.81761006289,298.4879364967346,16
BASELINE,300,1,5,1500,90087000,51,612,2.450980392156863,147200.98039215687,297.94539999961853,16
BASELINE,400,1,5,2000,120116000,53,636,3.1446540880503147,188861.63522012578,317.58283829689026,16
BASELINE,500,1,5,2500,150145000,60,720,3.4722222222222223,208534.72222222222,358.7123568058014,16
BASELINE,100,5,5,2500,150145000,120,1440,1.7361111111111112,104267.36111111111,583.96985912323,16
BASELINE,200,5,5,5000,300290000,197,2364,2.1150592216582065,127026.22673434856,917.106796503067,16
BASELINE,300,5,5,7500,450435000,174,2088,3.5919540229885056,215725.5747126437,881.7554833889008,16
BASELINE,400,5,5,9325,560040850,208,2496,3.7359775641025643,224375.34054487178,1038.119767665863,16
BASELINE,500,5,5,12262,736431196,361,4332,2.83056325023084,169997.96768236381,1834.3144409656525,16
BASELINE,100,10,5,5000,300290000,207,2484,2.0128824476650564,120889.69404186796,951.3404700756073,16
BASELINE,200,10,5,10000,600580000,240,2880,3.4722222222222223,208534.72222222222,1161.348985671997,16
BASELINE,300,10,5,15000,900870000,337,4044,3.7091988130563798,222767.06231454006,1653.8191936016083,16
BASELINE,400,10,5,18750,1126087500,439,5268,3.559225512528474,213759.96583143508,2139.8374173641205,16
BASELINE,500,10,5,24468,1469499144,739,8868,2.7591339648173205,165708.06765899865,3702.505338907242,16
