concurrency,amortization_factor,journeys_per_user,total_txs,total_gas,total_blocks,total_time,tps,gas_per_sec,makespan_seconds,processes
100,1,5,2500,77533320,120,1440,1.7361111111111112,53842.583333333336,563.975412607193,50
200,1,5,5000,155066400,156,1872,2.6709401709401708,82834.61538461539,710.8085424900055,50
300,1,5,7500,232599480,179,2148,3.4916201117318435,108286.53631284916,819.2664091587067,50
400,1,5,10000,310131360,151,1812,5.518763796909492,171154.17218543048,717.1374595165253,50
500,1,5,12500,387663960,198,2376,5.260942760942761,163158.2323232323,921.5663168430328,50
100,5,5,4500,197649320,209,2508,1.7942583732057416,78807.54385964913,938.147314786911,50
200,5,5,9000,395298400,222,2664,3.3783783783783785,148385.2852852853,1022.0448076725006,50
300,5,5,13492,592575942,292,3504,3.8504566210045663,169114.13869863015,1336.690064907074,50
400,5,5,18000,790595360,318,3816,4.716981132075472,207179.07756813418,1495.2824618816376,50
500,5,5,22476,987129346,395,4740,4.741772151898735,208255.13628691982,1857.9336955547333,50
100,10,5,7000,347794320,303,3636,1.9251925192519252,95653.00330033003,1333.0780482292175,50
200,10,5,14000,695588400,356,4272,3.2771535580524342,162825.0,1610.2407774925232,50
300,10,5,21000,1043382480,372,4464,4.704301075268817,233732.63440860214,1757.0167391300201,50
400,10,5,28000,1391175360,501,6012,4.657351962741184,231399.76047904193,2386.2741162776947,50
500,10,5,34447,1710440732,759,9108,3.7820597277119017,187795.42512077294,3732.3370263576508,50
