journey_type,concurrency,amortization_factor,journeys_per_user,total_txs,total_gas,total_blocks,total_time,tps,gas_per_sec,makespan_seconds,processes
DAS,100,1,5,2500,71633320,83,996,2.5100401606425704,71921.00401606425,409.1091368198395,20
2PC,100,1,5,2500,99482168,63,756,3.306878306878307,131590.1693121693,326.21272253990173,20
BASELINE,100,1,5,500,24129000,33,396,1.2626262626262625,60931.818181818184,206.7143189907074,20
DAS,200,1,5,5000,143266400,77,924,5.411255411255412,155050.21645021645,385.0407819747925,20
2PC,200,1,5,5000,198963520,63,756,6.613756613756614,263179.25925925927,326.34956979751587,20
BASELINE,200,1,5,1000,48258000,33,396,2.525252525252525,121863.63636363637,207.3966929912567,20
DAS,300,1,5,7500,214899480,80,960,7.8125,223853.625,397.16769003868103,20
2PC,300,1,5,7500,298446936,63,756,9.920634920634921,394771.07936507935,327.3804175853729,20
BASELINE,300,1,5,1500,72387000,33,396,3.787878787878788,182795.45454545456,207.01385307312012,20
DAS,400,1,5,10000,286531360,83,996,10.040160642570282,287682.0883534137,408.8604848384857,20
2PC,400,1,5,10000,397927184,63,756,13.227513227513228,526358.708994709,327.451940536499,20
BASELINE,400,1,5,2000,96516000,33,396,5.05050505050505,243727.27272727274,207.2097954750061,20
DAS,500,1,5,12500,358163960,89,1068,11.704119850187267,335359.51310861425,432.8956468105316,20
2PC,500,1,5,12500,497410984,66,792,15.782828282828282,628044.1717171717,338.7603132724762,20
BASELINE,500,1,5,2500,120645000,36,432,5.787037037037037,279270.8333333333,218.6294949054718,20
DAS,100,5,5,4500,168149320,140,1680,2.6785714285714284,100088.88095238095,636.5339527130127,20
2PC,100,5,5,12500,497408344,240,2880,4.340277777777778,172711.23055555555,1035.5146868228912,20
BASELINE,100,5,5,2500,120645000,93,1116,2.240143369175627,108104.83870967742,446.9514150619507,20
DAS,200,5,5,9000,336298400,137,1644,5.474452554744525,204561.0705596107,625.132865190506,20
2PC,200,5,5,25000,994819616,240,2880,8.680555555555555,345423.47777777776,1035.5421414375305,20
BASELINE,200,5,5,5000,241290000,93,1116,4.480286738351254,216209.67741935485,447.1956911087036,20
DAS,300,5,5,13500,504447480,140,1680,8.035714285714286,300266.35714285716,636.6324622631073,20
2PC,300,5,5,37500,1492231608,243,2916,12.860082304526749,511739.23456790124,1046.6209571361542,20
BASELINE,300,5,5,7500,361935000,93,1116,6.720430107526882,324314.51612903224,447.02949237823486,20
DAS,400,5,5,18000,672595360,149,1788,10.06711409395973,376171.90156599553,672.099312543869,20
2PC,400,5,5,50000,1989643792,243,2916,17.146776406035666,682319.5445816186,1048.3137247562408,20
BASELINE,400,5,5,10000,482580000,96,1152,8.680555555555555,418906.25,459.4334635734558,20
DAS,500,5,5,22500,840743960,152,1824,12.335526315789474,460934.18859649124,684.7056176662445,20
2PC,500,5,5,62484,2486425231,384,4608,13.559895833333334,539588.8088107639,1612.8814706802368,20
BASELINE,500,5,5,12500,603225000,114,1368,9.137426900584796,440953.94736842107,530.7996125221252,20
DAS,100,10,5,7000,288794320,209,2508,2.7910685805422646,115149.25039872408,913.330543756485,20
2PC,100,10,5,25000,994820816,465,5580,4.480286738351254,178283.30035842294,1936.4202828407288,20
BASELINE,100,10,5,5000,241290000,168,2016,2.4801587301587302,119687.5,746.5468325614929,20
DAS,200,10,5,14000,577588400,215,2580,5.426356589147287,223871.47286821707,937.5794224739075,20
2PC,200,10,5,50000,1989639664,468,5616,8.903133903133902,354280.56695156696,1948.1817724704742,20
BASELINE,200,10,5,10000,482580000,168,2016,4.9603174603174605,239375.0,747.1658582687378,20
DAS,300,10,5,21000,866382480,218,2616,8.027522935779816,331185.9633027523,948.690957069397,20
2PC,300,10,5,75000,2984458224,468,5616,13.354700854700855,531420.6239316239,1948.5645959377289,20
BASELINE,300,10,5,15000,723870000,174,2088,7.183908045977011,346681.0344827586,770.9581215381622,20
DAS,400,10,5,28000,1155175360,224,2688,10.416666666666666,429752.7380952381,973.0734729766846,20
2PC,400,10,5,100000,3979279808,486,5832,17.146776406035666,682318.2112482854,2021.694715499878,20
BASELINE,400,10,5,19990,964677420,312,3744,5.339209401709402,257659.5673076923,1322.0712971687317,20
DAS,500,10,5,34982,1443247370,362,4344,8.052946593001842,332239.2656537753,1525.3623316287994,20
2PC,500,10,5,125000,4974102352,606,7272,17.189218921892188,684007.4741474148,2502.5904841423035,20
BASELINE,500,10,5,24928,1202975424,351,4212,5.918328584995252,285606.7008547009,1478.470709323883,20
